PIN44,,PIN37A,PIN37B,,
CH1H,,CH1H,CH2H,,0
CH2H,,CH3H,CH4H,,0
CH3H,,CH5H,CH6H,,0
CH4H,,CH7H,CH8H,,0
CH5H,,CH21H,CH22H,,0
CH6H,,CH23H,CH24H,,0
CH31H,,CH9H,CH10H,,0
CH17H,,CH11H,CH12H,,0
CH32H,,CH13H,CH14H,,0
CH18H,,CH15H,CH16H,,0
CH33H,,CH17H,CH18H,,0
Ch19H,,CH19H,CH20H,,0
Ch34H,,CH27H,CH28H,,0
Ch20H,,CH25H,CH26H,,0
,,,,,
CH7H,,CH29H,CH30H,,0
CH8H,,Ch31H,Ch32H,,0
CH9H,,CH33H,CH34H,,0
CH10H,,CH35H,Ch36H,,0
Ch35H,,CH49H,CH50H,,0
CH21H,,CH51H,CH52H,,0
CH36H,,CH37H,Ch38H,,0
CH22H,,CH39H,CH40H,,0
CH37H,,CH41H,Ch42H,,0
CH23H,,CH43H,Ch44H,,0
CH38H,,CH45H,CH46H,,0
CH24H,,CH47H,CH48H,,0
Ch39H,,CH55H,CH56H,,0
Ch25H,,CH53H,CH54H,,0
,,,,,
CH11H,,CH57H,CH58H,,0
CH12H,,CH59H,Ch60H,,0
CH13H,,CH61H,CH62H,,0
CH14H,,CH63H,CH64H,,0
CH40H,,CH77H,CH78H,,0
CH26H,,CH79H,CH80H,,0
CH41H,,CH65H,CH66H,,0
CH27H,,CH67H,CH68H,,0
CH42H,,CH69H,CH70H,,0
CH28H,,CH71H,CH72H,,0
CH43H,,CH73H,CH74H,,0
CH29H,,CH75H,CH76H,,0
CH44H,,CH83H,CH84H,,0
CH30H,,CH81H,CH82H,,0
